('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784229 function calls (759850 primitive calls) in 6.515 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
        2    0.000    0.000    0.000    0.000 feedparser.py:54(__init__)
        1    0.000    0.000    0.005    0.005 sessions.py:457(prepare_request)
      130    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
        3    0.000    0.000    0.000    0.000 url.py:367(parse_url)
        2    0.000    0.000    0.016    0.008 connection.py:1(<module>)
        8    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
       12    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
        3    0.000    0.000    0.011    0.004 utils.py:1(<module>)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      534    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        6    0.000    0.000    0.000    0.000 typing.py:1748(__getitem__)
      195    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       52    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
       54    0.000    0.000    0.000    0.000 utils.py:47(_has_surrogates)
       33    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
    78/44    0.000    0.000    0.117    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
